state,trump_2020,biden_2020
AL,62,36.6
AK,52.8,42.8
AZ,49.1,49.4
AR,62.4,34.8
CA,34.3,63.5
CO,41.9,55.4
CT,39.2,59.2
DE,39.8,58.8
DC,5.4,92.1
FL,51.2,47.9
GA,49.3,49.5
HI,34.4,63.7
ID,63.8,33.1
IL,40.5,57.5
IN,57,40.9
IA,53.2,44.9
KS,56.4,41.3
KY,62.1,36.1
LA,58.5,39.9
ME,44.1,52.8
MD,32.3,65.7
MA,32.1,65.6
MI,47.8,50.6
MN,45.3,52.4
MS,57.5,41
MO,56.7,41.4
MT,56.7,40.4
NE,58.5,39.3
NV,47.7,50.1
NH,45.5,52.8
NJ,41.2,57.1
NM,43.5,54.3
NY,41.7,56.8
NC,49.9,48.6
ND,65.1,31.8
OH,53.2,45.2
OK,65.4,32.3
OR,40.5,56.4
PA,48.8,50
RI,38.6,59.4
SC,55.1,43.4
SD,61.8,35.6
TN,60.6,37.4
TX,52,46.5
UT,58.1,37.6
VT,30.7,66.1
VA,44,54.1
WA,39,58.4
WV,68.6,29.7
WI,48.8,49.4
WY,69.9,26.6
